#note: format is [target word: 2020 OPM, 2024 OPM, percent change, Synonym1: 2020 OPM, 2024 OPM, percent change, Synonym2:...Synonym5]

align_VERB :25.69 2020 OPM, 48.41 2024 OPM, 88.48 %,  coordinate_VERB : 26.83 2020 OPM, 27.91 2024 OPM, 4.04 %, integrate_VERB : 137.02 2020 OPM, 210.48 2024 OPM, 53.61 %, synchronize_VERB : 6.60 2020 OPM, 6.45 2024 OPM, -2.20 %, systematize_VERB : N/A, harmonize_VERB : 2.78 2020 OPM, 5.13 2024 OPM, 84.83 %
advancement_NOUN :28.69 2020 OPM, 102.05 2024 OPM, 255.70 %,  improvement_NOUN : 322.40 2020 OPM, 355.98 2024 OPM, 10.41 %, development_NOUN : 860.50 2020 OPM, 933.85 2024 OPM, 8.52 %, progress_NOUN : 74.95 2020 OPM, 77.42 2024 OPM, 3.29 %, enhancement_NOUN : 72.81 2020 OPM, 82.72 2024 OPM, 13.60 %,  : N/A
boast_VERB :0.30 2020 OPM, 2.93 2024 OPM, 886.49 %,  exhibit_VERB : 357.97 2020 OPM, 636.00 2024 OPM, 77.67 %, display_VERB : 138.64 2020 OPM, 147.29 2024 OPM, 6.24 %, showcase_VERB : 4.28 2020 OPM, 26.33 2024 OPM, 515.00 %, highlight_VERB : 275.70 2020 OPM, 500.00 2024 OPM, 81.36 %, underscore_VERB : 17.43 2020 OPM, 152.62 2024 OPM, 775.57 %
boast_NOUN :N/A 2020 OPM, N/A 2024 OPM, N/A %,  feature_NOUN : 422.24 2020 OPM, 479.40 2024 OPM, 13.54 %, highlight_NOUN : 11.30 2020 OPM, 16.70 2024 OPM, 47.77 %, distinction_NOUN : 11.61 2020 OPM, 12.93 2024 OPM, 11.42 %, merit_NOUN : 11.68 2020 OPM, 9.58 2024 OPM, -17.94 %, excellence_NOUN : 1.71 2020 OPM, 2.13 2024 OPM, 24.72 %
commendable_ADJ :0.28 2020 OPM, 2.29 2024 OPM, 727.98 %,  laudable_ADJ : N/A, praiseworthy_ADJ : N/A, admirable_ADJ : N/A, noteworthy_ADJ : 5.94 2020 OPM, 15.23 2024 OPM, 156.38 %, meritorious_ADJ : N/A
comprehend_VERB :3.69 2020 OPM, 13.71 2024 OPM, 271.79 %,  understand_VERB : 406.40 2020 OPM, 470.65 2024 OPM, 15.81 %, grasp_VERB : 4.14 2020 OPM, 4.28 2024 OPM, 3.20 %, perceive_VERB : 138.82 2020 OPM, 146.03 2024 OPM, 5.19 %, appreciate_VERB : 8.35 2020 OPM, 7.22 2024 OPM, -13.48 %,  : N/A
crucial_ADJ :141.87 2020 OPM, 354.48 2024 OPM, 149.86 %,  key_ADJ : 358.82 2020 OPM, 424.76 2024 OPM, 18.38 %, critical_ADJ : 289.16 2020 OPM, 343.95 2024 OPM, 18.95 %, vital_ADJ : 66.11 2020 OPM, 88.11 2024 OPM, 33.29 %, essential_ADJ : 242.43 2020 OPM, 296.56 2024 OPM, 22.33 %, pivotal_ADJ : 29.30 2020 OPM, 90.58 2024 OPM, 209.13 %
delve_VERB :1.04 2020 OPM, 29.49 2024 OPM, 2746.32 %,  explore_VERB : 415.75 2020 OPM, 626.80 2024 OPM, 50.76 %, investigate_VERB : 973.39 2020 OPM, 1001.83 2024 OPM, 2.92 %, examine_VERB : 580.24 2020 OPM, 617.84 2024 OPM, 6.48 %, research_VERB : 13.21 2020 OPM, 14.14 2024 OPM, 7.01 %, probe_VERB : 29.14 2020 OPM, 28.15 2024 OPM, -3.40 %
emphasize_VERB :51.07 2020 OPM, 145.10 2024 OPM, 184.14 %,  highlighting_VERB : N/A, stressing_VERB : N/A, underscoring_VERB : N/A, accentuating_VERB : N/A, reinforcing_VERB : N/A
garner_VERB :3.56 2020 OPM, 18.11 2024 OPM, 408.46 %,  compiled_VERB : N/A, amassed_VERB : N/A, collected_VERB : N/A, assembled_VERB : N/A, aggregated_VERB : N/A
